"survived" "age" "pclass"
"533" 0 17 1
"176" 0 18 1
"166" 1 9 1
"105" 0 37 1
"277" 0 45 1
"606" 0 36 1
"196" 1 58 0
"656" 0 24 0
"267" 0 16 1
"598" 0 49 1
"111" 0 47 0
"229" 0 18 0
"103" 0 21 0
"438" 1 24 0
"699" 0 49 0
"750" 0 31 1
"730" 0 25 1
"152" 1 22 0
"549" 0 33 1
"40" 1 14 1
"542" 0 9 1
"457" 0 65 0
"757" 0 28 1
"809" 0 39 0
"870" 1 4 1
"812" 0 39 1
"171" 0 61 0
"810" 1 33 0
"815" 0 30.5 1
"60" 0 11 1
"515" 0 24 1
"125" 0 54 0
"35" 0 28 0
"577" 1 34 0
"9" 1 27 1
"205" 1 18 1
"357" 1 22 0
"678" 1 18 1
"417" 1 34 0
"570" 1 32 1
"884" 0 28 0
"237" 0 44 0
"448" 1 34 0
"436" 1 14 0
"384" 1 35 0
"14" 0 39 1
"762" 0 41 1
"217" 1 27 1
"117" 0 70.5 1
"52" 0 21 1
"726" 0 20 1
"106" 0 28 1
"153" 0 55.5 1
"861" 0 41 1
"873" 0 33 0
"846" 0 42 1
"407" 0 51 1
"661" 1 50 0
"72" 0 16 1
"522" 0 22 1
"497" 1 54 0
"622" 1 42 0
"235" 0 24 0
"255" 0 41 1
"890" 1 26 0
"287" 1 30 1
"226" 0 22 1
"475" 0 22 1
"648" 1 56 0
"526" 0 40.5 1
